0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
720, 4
0, 0
72, 1
216, 2
432, 3
